company,type,mood,health,settimana,city,cardinality user,full connection,top_number,alg,Top1Name,Top1Score,Top2Name,Top2Score,Top3Name,Top3Score,Top4Name,Top4Score,Top5Name,Top5Score
C_fidanzata,C_colazione,C_cattivo_umore,C_non_buona_salute,C_weekday,torino,1,false,5,PageRankPriors,NYC Caffe,5.743595665317832E7,Granbar,5.683649461374527E7,Roma Già Talmone,8.201390026993303E7,Caffetteria Auditorium,5.743595665317832E7,Bar: BAR BLU,5.683649461374527E7
C_fidanzata,C_colazione,C_cattivo_umore,C_non_buona_salute,C_weekday,torino,1,true,5,PageRank,Mara dei Boschi,6.744947940610694E-4,Pizza Speedy,6.736573759998162E-4,Costadoro,6.75057648823551E-4,Gelateria Ciuffo’s,6.747693573598409E-4,Samoa,6.846261797857395E-4
C_fidanzata,C_colazione,C_cattivo_umore,C_non_buona_salute,C_weekday,torino,1,true,5,PageRankPriors,Teapot,5.141389620118015E7,Alberto Marchetti,5.141389620118015E7,Mara dei Boschi,5.24597821159643E7,Gelateria Ciuffo’s,7.509134839909206E7,Costadoro,5.251207641170351E7
C_fidanzata,C_colazione,C_cattivo_umore,C_non_buona_salute,C_weekday,torino,100,false,5,PageRank,Trattoria Alba,8.672130350081889E-4,L’Ancienne Maison du Thé,0.001155271197597649,Porto Ribeca,8.633151980715913E-4,Lady Bar,8.72708034396856E-4,MAK’S,8.654827756851138E-4
C_fidanzata,C_colazione,C_cattivo_umore,C_non_buona_salute,C_weekday,torino,100,false,5,PageRankPriors,Trattoria Alba,5.665862791651879E7,L’Ancienne Maison du Thé,1.0641397718946129E8,Mara dei Boschi,5.596208700430308E7,Mixer BAR di Figliolia M.,5.596208700430308E7,Porto Ribeca,5.596208700430308E7
C_fidanzata,C_colazione,C_cattivo_umore,C_non_buona_salute,C_weekday,torino,100,true,5,PageRank,Caffetteria Regina,7.512484481753002E-4,Trattoria Pizzeria Mare E Monti,7.481156390755442E-4,Grom,7.529353453828611E-4,Bar Torrefazione Beccuti,8.107718210706638E-4,Quattro Soldi,7.492057124005543E-4
C_fidanzata,C_colazione,C_cattivo_umore,C_non_buona_salute,C_weekday,torino,100,true,5,PageRankPriors,O.L.S.,7.165248034177646E7,Mezzaluna Osteria,5.0506565262708165E7,Acab,5.0506565262708165E7,Caffè del Borgo Medioevale,5.0506565262708165E7,Bar Torrefazione Beccuti,5.146816133802931E7
C_fidanzata,C_colazione,C_cattivo_umore,C_non_buona_salute,C_weekday,torino,500,false,5,PageRank,Alberto Marchetti,0.0012830622004292812,Tropicana,0.0016496239436654186,Bar Cristal,0.0013050213977134316,Grom,0.0013050213977134316,Bar Nuovo Nazionale,0.0012890932475707027
C_fidanzata,C_colazione,C_cattivo_umore,C_non_buona_salute,C_weekday,torino,500,false,5,PageRankPriors,Alberto Marchetti,5.467093799629341E7,Tropicana,7.622390393713985E7,Bar Cristal,5.596208700430304E7,Grom,5.596208700430304E7,Bar Nuovo Nazionale,5.467093799629341E7
C_fidanzata,C_colazione,C_cattivo_umore,C_non_buona_salute,C_weekday,torino,500,true,5,PageRank,Fiorio Gelateria,0.0011102088949790003,Le cantine di bacco,9.326041297548379E-4,Monferrato,0.0011099923038018979,Caffe Shop Vergnao,0.0010963303987846543,Tor.Na,0.001105660480259845
C_fidanzata,C_colazione,C_cattivo_umore,C_non_buona_salute,C_weekday,torino,500,true,5,PageRankPriors,Fiorio Gelateria,5.267878985495202E7,Alberto Marchetti,5.157796059004788E7,Caffe Shop Vergnao,5.203191019988422E7,La Cuite,5.112885727560186E7,Bar Nuovo Nazionale,7.418401746061993E7
C_fidanzata,C_colazione,C_cattivo_umore,C_non_buona_salute,C_weekday,torino,1000,false,5,PageRank,Gelateria Popolare,0.0015386840299731982,Chef Espress Buffet Stazione Porta Susa,0.0015386840299731982,Pastis 2020,0.0015345171792706255,Trattoria Pizzeria Mare E Monti,0.0015390129918707697,La Cuite,0.0015386840299731982
C_fidanzata,C_colazione,C_cattivo_umore,C_non_buona_salute,C_weekday,torino,1000,false,5,PageRankPriors,Gelateria Popolare,5.530037313769822E7,Chef Espress Buffet Stazione Porta Susa,5.530037313769822E7,Pastis 2020,5.530037313769822E7,Caffè della Posta,5.530037313769822E7,Antica Cafetteria,5.530037313769822E7
C_fidanzata,C_colazione,C_cattivo_umore,C_non_buona_salute,C_weekday,torino,1000,true,5,PageRank,Gelateria Due Salette,0.0010494056410771857,Gufo Bianco,0.0012453526221217577,Olsen di Caldi Cinzia,0.0012332852902061323,Autogrill,0.0010494056410771857,La Gola,0.0010046172745441923
C_fidanzata,C_colazione,C_cattivo_umore,C_non_buona_salute,C_weekday,torino,1000,true,5,PageRankPriors,La Maison de Marie,5.401418782648667E7,Family Bar,5.460612413143447E7,Gelateria Due Salette,5.506007374127082E7,Alberto Marchetti,5.401418782648667E7,Autogrill,5.506007374127082E7
